user_id,sex,city,constellation
2,1,6411949,白羊座
12,1,6412149,金牛座
22,1,6411949,双子座
23,1,6411949,巨蟹座
25,1,6481949,巨蟹座
26,1,6281949,双子座
34,0,6481949,金牛座
36,1,6281949,狮子座
42,0,6281949,处女座
47,1,6412149,天秤座
49,1,6081949,金牛座
53,0,6411949,狮子座
54,0,6281949,摩羯座
55,0,6481949,水瓶座
58,0,6412149,狮子座
59,0,6481949,狮子座
62,1,6412149,天秤座
65,1,6412149,射手座
68,0,6411949,处女座
74,0,6281949,水瓶座
80,1,6481949,双鱼座
81,0,6581949,巨蟹座
86,1,6581949,白羊座
87,0,6411949,狮子座
96,1,6411949,处女座
97,1,6581949,双鱼座
99,1,6412149,水瓶座
100,1,6412149,天蝎座
102,0,6581949,摩羯座
104,0,6081949,白羊座
114,0,6281949,处女座
118,1,6481949,天蝎座
119,1,6581949,水瓶座
120,1,6412149,白羊座
124,1,6281949,狮子座
131,1,6281949,天蝎座
135,0,6281949,巨蟹座
137,1,6281949,摩羯座
139,1,6412149,天秤座
152,1,6412149,处女座
162,0,6581949,双子座
163,1,6081949,水瓶座
165,0,6081949,射手座
167,0,6281949,水瓶座
168,0,6481949,狮子座
172,0,6281949,双子座
174,0,6301949,金牛座
175,0,6581949,水瓶座
177,0,6481949,射手座
183,0,6412149,金牛座
189,0,6281949,天蝎座
197,0,6411949,白羊座
200,0,6301949,金牛座
204,0,6281949,巨蟹座
205,1,6411949,摩羯座
213,0,6281949,摩羯座
219,0,6412149,处女座
220,1,6581949,狮子座
222,1,6481949,水瓶座
225,0,6412149,白羊座
230,1,6411949,巨蟹座
244,0,6301949,处女座
245,0,6481949,巨蟹座
250,1,6301949,金牛座
259,0,6301949,狮子座
266,1,6412149,巨蟹座
268,1,6411949,双鱼座
271,1,6301949,天秤座
279,0,6281949,巨蟹座
281,0,6581949,白羊座
284,1,6481949,双鱼座
285,0,6411949,射手座
291,1,6412149,射手座
292,1,6281949,双子座
303,0,6411949,双鱼座
305,1,6412149,水瓶座
314,1,6412149,天蝎座
316,1,6411949,摩羯座
318,0,6581949,双子座
327,0,6481949,金牛座
328,1,6412149,双鱼座
339,0,6411949,双鱼座
340,1,6412149,摩羯座
346,1,6411949,双鱼座
348,1,6581949,天蝎座
354,0,6412149,白羊座
355,1,6412149,巨蟹座
357,1,6412149,处女座
364,1,6301949,射手座
375,1,6481949,天秤座
382,1,6411949,处女座
392,0,6081949,白羊座
393,0,6411949,天蝎座
404,1,6411949,射手座
411,0,6411949,狮子座
412,1,6412149,天秤座
414,0,6581949,射手座
415,0,6481949,双鱼座
422,1,6581949,处女座
426,1,6081949,水瓶座
429,0,6281949,天蝎座
435,0,6081949,双子座
436,0,6281949,水瓶座
447,0,6411949,水瓶座
452,1,6411949,水瓶座
471,1,6411949,狮子座
475,1,6412149,处女座
478,0,6411949,天蝎座
481,1,6081949,天秤座
482,0,6412149,天蝎座
492,0,6281949,天蝎座
499,1,6411949,天蝎座
511,0,6301949,天秤座
512,0,6412149,双子座
515,0,6081949,水瓶座
517,0,6411949,射手座
518,0,6301949,天蝎座
519,1,6411949,狮子座
523,0,6481949,金牛座
527,1,6301949,天蝎座
531,1,6412149,金牛座
532,0,6411949,双子座
533,1,6481949,狮子座
535,0,6081949,处女座
539,1,6081949,天秤座
541,1,6281949,白羊座
543,1,6412149,巨蟹座
546,1,6281949,天蝎座
548,1,6081949,水瓶座
553,1,6281949,射手座
554,1,6281949,摩羯座
571,1,6281949,白羊座
572,1,6281949,摩羯座
583,0,6412149,天蝎座
585,0,6481949,白羊座
588,0,6581949,金牛座
592,0,6412149,双鱼座
595,1,6481949,白羊座
599,1,6411949,天秤座
600,1,6412149,双子座
603,1,6412149,摩羯座
615,0,6281949,双子座
620,1,6412149,双鱼座
621,1,6481949,天秤座
624,0,6411949,双鱼座
629,1,6481949,摩羯座
630,1,6281949,摩羯座
631,0,6281949,射手座
635,0,6301949,白羊座
637,1,6081949,射手座
639,0,6411949,处女座
641,1,6281949,巨蟹座
643,1,6081949,双鱼座
644,1,6411949,摩羯座
645,1,6281949,金牛座
649,1,6301949,狮子座
656,0,6281949,白羊座
662,1,6411949,射手座
664,1,6411949,金牛座
668,0,6411949,处女座
673,0,6481949,射手座
675,0,6412149,双鱼座
683,1,6581949,处女座
684,0,6412149,狮子座
687,0,6481949,天蝎座
688,0,6281949,狮子座
693,0,6412149,金牛座
698,0,6301949,天蝎座
707,1,6412149,天秤座
711,0,6301949,巨蟹座
717,1,6412149,白羊座
724,0,6481949,处女座
738,0,6081949,天蝎座
752,0,6481949,双鱼座
762,1,6481949,水瓶座
765,0,6081949,射手座
766,1,6081949,白羊座
774,1,6281949,狮子座
778,0,6281949,天秤座
779,1,6412149,射手座
783,1,6411949,天蝎座
788,1,6581949,摩羯座
789,0,6411949,金牛座
794,1,6301949,狮子座
800,0,6481949,处女座
802,1,6301949,巨蟹座
809,0,6081949,天蝎座
813,1,6081949,巨蟹座
815,0,6481949,天秤座
816,1,6581949,处女座
819,0,6411949,双鱼座
822,0,6281949,摩羯座
825,1,6081949,摩羯座
827,0,6281949,天秤座
830,1,6281949,水瓶座
832,1,6281949,处女座
836,1,6411949,摩羯座
838,0,6581949,水瓶座
848,1,6411949,金牛座
851,0,6412149,狮子座
852,0,6412149,白羊座
855,0,6481949,巨蟹座
866,1,6301949,巨蟹座
867,1,6411949,处女座
868,0,6481949,金牛座
869,1,6411949,狮子座
871,0,6411949,天蝎座
873,1,6281949,处女座
874,1,6412149,水瓶座
875,1,6412149,摩羯座
882,1,6301949,巨蟹座
884,0,6412149,天秤座
893,0,6411949,射手座
901,1,6081949,天秤座
910,0,6281949,水瓶座
913,0,6281949,巨蟹座
914,1,6281949,狮子座
918,0,6411949,天蝎座
936,0,6301949,天秤座
937,1,6281949,摩羯座
956,1,6411949,巨蟹座
973,1,6411949,金牛座
977,1,6411949,双子座
981,0,6081949,摩羯座
988,1,6301949,水瓶座
995,1,6301949,狮子座
1002,1,6281949,处女座
1005,0,6412149,金牛座
1007,1,6281949,天秤座
1011,0,6081949,双鱼座
1012,0,6081949,双子座
1019,1,6411949,处女座
1025,0,6411949,巨蟹座
1027,1,6581949,处女座
1034,1,6081949,金牛座
1044,1,6581949,狮子座
1062,0,6281949,白羊座
1067,1,6412149,狮子座
1076,0,6412149,双鱼座
1081,0,6081949,水瓶座
1083,1,6481949,双鱼座
1086,0,6481949,巨蟹座
1097,0,6412149,水瓶座
1098,1,6081949,金牛座
1102,1,6281949,射手座
1105,1,6411949,金牛座
1108,1,6281949,射手座
1118,1,6581949,狮子座
1121,1,6281949,天秤座
1122,1,6301949,金牛座
1125,0,6581949,狮子座
1134,1,6412149,巨蟹座
1150,1,6411949,射手座
1155,1,6412149,摩羯座
1165,1,6411949,巨蟹座
1177,0,6412149,金牛座
1180,1,6411949,水瓶座
1191,0,6281949,处女座
1192,1,6281949,金牛座
1195,1,6412149,狮子座
1198,0,6412149,金牛座
1226,1,6412149,水瓶座
1237,0,6581949,天蝎座
1240,0,6281949,处女座
1243,0,6481949,水瓶座
1244,0,6281949,白羊座
1248,1,6412149,天蝎座
1255,0,6281949,摩羯座
1279,0,6081949,双鱼座
1286,0,6281949,狮子座
1290,1,6301949,水瓶座
1293,1,6581949,巨蟹座
